Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Mohamed Elneny,11/07/1992,11,Arsenal,M,23,1540,1,1,0,0.53,0.23,0.48-0.52,0.48-0.52,0.26+0.26,5.2,4.65,0.03,0.03,0.02,0.04,0.04,0.3,0.27,3,0
Willian,09/08/1988,9.9,Arsenal,F M,25,1413,1,1,5,1.27,2.04,1.83+0.83,1.83+0.83,3.59-1.41,7.11,3.82,0.12,0.12,0.23,0.35,0.35,0.45,0.24,0,0
David Luiz,22/04/1987,4.4,Arsenal,D,20,1410,1,1,0,0.96,0.13,0.67-0.33,0.67-0.33,0.52+0.52,4.75,4.63,0.04,0.04,0.03,0.08,0.08,0.3,0.3,1,1
Martin Odegaard,17/12/1998,44,Arsenal,M,14,865,1,1,2,1.56,1.98,0.62-0.38,0.62-0.38,1.96-0.04,5.3,4.07,0.06,0.06,0.2,0.27,0.27,0.55,0.42,0,0
Kieran Tierney,05/06/1997,35.2,Arsenal,D,27,2305,1,1,3,0.59,1.21,0.39-0.61,0.39-0.61,3.82+0.82,8.64,5.61,0.02,0.02,0.15,0.16,0.16,0.34,0.22,4,0
Bernd Leno,04/03/1992,24.2,Arsenal,GK,35,3136,0,0,0,0,0,0,0,0,4.33,4.33,0,0,0,0,0,0.12,0.12,0,1
Sead Kolasinac,20/06/1993,7.15,Arsenal,D,1,90,0,0,0,0,0,0,0,0,0.43,0.43,0,0,0,0,0,0.43,0.43,0,0
Calum Chambers,20/01/1995,13.2,Arsenal,D,10,750,0,0,2,0.96,1.32,0.36+0.36,0.36+0.36,1.04-0.96,3.84,2.81,0.04,0.04,0.13,0.17,0.17,0.46,0.34,0,0
Cédric Soares,31/08/1991,6.6,Arsenal,D,10,746,0,0,1,0.84,0.72,0.20+0.20,0.20+0.20,0.89-0.11,3.34,2.92,0.02,0.02,0.11,0.13,0.13,0.4,0.35,1,0
Shkodran Mustafi,17/04/1992,2.75,Arsenal,S,3,43,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0.14,0.14,0,0
Rob Holding,20/09/1995,19.8,Arsenal,D,30,2548,0,0,1,0.49,0.14,0.73+0.73,0.73+0.73,0.20-0.80,7.4,7.16,0.03,0.03,0.01,0.03,0.03,0.26,0.25,2,0
Ainsley Maitland-Niles,29/08/1997,17.6,Arsenal,D,11,483,0,0,0,0.37,0.37,0.10+0.10,0.10+0.10,0.08+0.08,2.4,2.25,0.02,0.02,0.02,0.03,0.03,0.45,0.42,0,0
Thomas Partey,13/06/1993,44,Arsenal,M,24,1543,0,0,2,1.52,0.7,1.16+1.16,1.16+1.16,1.12-0.88,7.27,5.84,0.07,0.07,0.07,0.13,0.13,0.42,0.34,5,0
Mat Ryan,08/04/1992,6.6,Arsenal,GK,3,270,0,0,0,0,0.33,0,0,0.06+0.06,0.43,0.43,0,0,0.02,0.02,0.02,0.14,0.14,0,0
Dani Ceballos,07/08/1996,29.7,Arsenal,M,25,1613,0,0,3,0.73,1.51,0.66+0.66,0.66+0.66,2.58-0.42,9.28,8.12,0.04,0.04,0.14,0.18,0.18,0.52,0.45,4,0
Reiss Nelson,10/12/1999,9.9,Arsenal,S,2,59,0,0,0,1.53,0,0.06+0.06,0.06+0.06,0,0.35,0.29,0.09,0.09,0,0.09,0.09,0.53,0.44,0,0
Joe Willock,20/08/1999,17.6,Arsenal,M,7,229,0,0,0,1.57,0.79,0.24+0.24,0.24+0.24,0.06+0.06,0.52,0.21,0.1,0.1,0.02,0.12,0.12,0.2,0.08,1,0
Rúnar Alex Rúnarsson,18/02/1995,1.65,Arsenal,S,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Marí,31/08/1993,7.7,Arsenal,D,10,900,0,0,0,0.2,0.1,0.04+0.04,0.04+0.04,0.05+0.05,3.6,3.59,0,0,0.01,0.01,0.01,0.36,0.36,2,0
Ollie Watkins,30/12/1995,35.2,Aston Villa,F,37,3330,14,13,5,2.65,1.22,16.28+2.28,14.76+1.76,5.31+0.31,22.01,5.33,0.44,0.4,0.14,0.58,0.54,0.59,0.14,2,1
Anwar El Ghazi,03/05/1995,14.3,Aston Villa,F M,28,1612,10,6,0,3.57,1.45,9.04-0.96,5.99-0.01,1.88+1.88,7.85,2.69,0.5,0.33,0.11,0.61,0.44,0.44,0.15,2,0
Bertrand Traoré,06/09/1995,22,Aston Villa,F M,36,2362,7,7,6,2.44,1.33,6.30-0.70,6.30-0.70,4.57-1.43,9.84,1.33,0.24,0.24,0.17,0.41,0.41,0.37,0.05,1,0
Jack Grealish,10/09/1995,71.5,Aston Villa,F M,26,2187,6,6,10,2.06,3.33,5.19-0.81,5.19-0.81,9.33-0.67,17.49,6.97,0.21,0.21,0.38,0.6,0.6,0.72,0.29,5,0
Ross Barkley,05/12/1993,22,Aston Villa,M,24,1539,3,3,1,2.22,2.28,3.68+0.68,3.68+0.68,4.20+3.20,9.67,3.63,0.22,0.22,0.25,0.46,0.46,0.57,0.21,0,0
John McGinn,18/10/1994,33,Aston Villa,M,37,3330,3,3,5,1.22,1.14,2.17-0.83,2.17-0.83,3.50-1.50,14.87,9.95,0.06,0.06,0.09,0.15,0.15,0.4,0.27,12,0
Tyrone Mings,13/03/1993,33,Aston Villa,D,36,3194,2,2,2,0.54,0.2,2.06+0.06,2.06+0.06,0.38-1.62,6.93,6.71,0.06,0.06,0.01,0.07,0.07,0.2,0.19,4,1
Trézéguet,01/10/1994,11,Aston Villa,F M,21,1175,2,2,1,2.68,1,3.98+1.98,3.98+1.98,2.15+1.15,7.03,1.9,0.3,0.3,0.16,0.47,0.47,0.54,0.15,0,0
Ezri Konsa Ngoyo,23/10/1997,27.5,Aston Villa,D,36,3192,2,2,0,0.62,0.06,3.29+1.29,3.29+1.29,0.09+0.09,3.43,3.38,0.09,0.09,0,0.1,0.1,0.1,0.1,3,0
Keinan Davis,13/02/1998,3.3,Aston Villa,F,15,240,1,1,1,3.38,2.25,1.27+0.27,1.27+0.27,0.68-0.32,1.96,0.34,0.48,0.48,0.26,0.73,0.73,0.74,0.13,0,0
Kortney Hause,16/07/1995,5.5,Aston Villa,D,7,630,1,1,0,0.71,0,1.30+0.30,1.30+0.30,0,1.8,1.8,0.19,0.19,0,0.19,0.19,0.26,0.26,2,0
Conor Hourihane,02/02/1991,3.85,Aston Villa,M,4,236,1,1,1,1.91,1.91,0.57-0.43,0.57-0.43,0.92-0.08,0.67,0.19,0.22,0.22,0.35,0.57,0.57,0.25,0.07,0,0
Neil Taylor,07/02/1989,1.65,Aston Villa,S,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Matt Targett,18/09/1995,18.7,Aston Villa,D,38,3407,0,0,2,0.16,1.03,0.28+0.28,0.28+0.28,2.80+0.80,9.61,8.2,0.01,0.01,0.07,0.08,0.08,0.25,0.22,7,0
Ahmed Elmohamady,09/09/1987,1.65,Aston Villa,D,14,823,0,0,0,0.98,1.42,0.34+0.34,0.34+0.34,0.99+0.99,2.43,1.61,0.04,0.04,0.11,0.15,0.15,0.27,0.18,2,0
Morgan Sanson,18/08/1994,17.6,Aston Villa,M,9,291,0,0,0,0.62,0.31,0.03+0.03,0.03+0.03,0.11+0.11,0.3,0.19,0.01,0.01,0.03,0.04,0.04,0.09,0.06,3,0
Emiliano Martinez,02/09/1992,33,Aston Villa,GK,38,3420,0,0,0,0,0.05,0,0,0.12+0.12,3.73,3.61,0,0,0,0,0,0.1,0.09,1,0
Douglas Luiz,09/05/1998,38.5,Aston Villa,M,33,2807,0,0,2,0.83,0.61,1.32+1.32,1.32+1.32,2.42+0.42,9.62,7.11,0.04,0.04,0.08,0.12,0.12,0.31,0.23,8,1
Wesley,24/11/1996,14.3,Aston Villa,S,3,14,0,0,0,6.43,0,0.03+0.03,0.03+0.03,0,0.12,0.09,0.21,0.21,0,0.21,0.21,0.76,0.55,0,0
Marvelous Nakamba,19/01/1994,7.7,Aston Villa,M,13,757,0,0,0,0.24,0.24,0.03+0.03,0.03+0.03,0.06+0.06,0.89,0.81,0,0,0.01,0.01,0.01,0.11,0.1,3,0
Matthew Cash,07/08/1997,24.2,Aston Villa,D,28,2389,0,0,2,0.34,0.79,0.25+0.25,0.25+0.25,1.91-0.09,6.59,5.03,0.01,0.01,0.07,0.08,0.08,0.25,0.19,6,1
Jacob Ramsey,28/05/2001,5.5,Aston Villa,M,22,593,0,0,0,1.67,0.91,0.57+0.57,0.57+0.57,0.21+0.21,2.23,1.69,0.09,0.09,0.03,0.12,0.12,0.34,0.26,0,0
Carney Chukwuemeka,20/10/2003,1.1,Aston Villa,S,2,16,0,0,0,5.63,0,0.06+0.06,0.06+0.06,0,0.06,0,0.32,0.32,0,0.32,0.32,0.32,0,0,0
Jaden Philogene-Bidace,08/02/2002,0.55,Aston Villa,S,1,1,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,5.04,5.04,0,0
Neal Maupay,14/08/1996,22,Brighton,F M,33,2526,8,5,2,2.53,1.14,13.77+5.77,10.73+5.73,4.28+2.28,17.16,3.38,0.49,0.38,0.15,0.64,0.53,0.61,0.12,1,1
Danny Welbeck,26/11/1990,4.4,Brighton,F M,24,1551,6,6,1,2.03,1.28,7.38+1.38,6.62+0.62,3.23+2.23,10.27,1.48,0.43,0.38,0.19,0.62,0.57,0.6,0.09,0,0
Lewis Dunk,21/11/1991,27.5,Brighton,D,33,2934,5,5,0,0.98,0.31,2.71-2.29,2.71-2.29,0.83+0.83,8.38,7.97,0.08,0.08,0.03,0.11,0.11,0.26,0.24,5,2
Leandro Trossard,04/12/1994,18.7,Brighton,F M,35,2647,5,5,5,1.97,1.73,5.41+0.41,5.41+0.41,5.40+0.40,16,7.63,0.18,0.18,0.18,0.37,0.37,0.54,0.26,2,0
Pascal Groß,15/06/1991,7.7,Brighton,D M,34,2469,3,0,8,1.17,2.52,5.01+2.01,1.97+1.97,5.37-2.63,10.4,6.73,0.18,0.07,0.2,0.38,0.27,0.38,0.25,3,0
Solly March,20/07/1994,9.9,Brighton,D M,21,1684,2,2,1,1.18,1.44,1.78-0.22,1.78-0.22,1.68+0.68,8.32,5.68,0.1,0.1,0.09,0.19,0.19,0.44,0.3,0,0
Aaron Connolly,28/01/2000,7.7,Brighton,F M,17,799,2,2,1,2.59,0.68,4.46+2.46,4.46+2.46,0.16-0.84,4.78,0.19,0.5,0.5,0.02,0.52,0.52,0.54,0.02,0,0
Adam Lallana,10/05/1988,4.4,Brighton,F M,30,1572,1,1,1,1.26,1.43,1.61+0.61,1.61+0.61,2.63+1.63,9.72,5.87,0.09,0.09,0.15,0.24,0.24,0.56,0.34,0,0
Yves Bissouma,30/08/1996,27.5,Brighton,M,36,3121,1,1,0,1.21,0.46,1.08+0.08,1.08+0.08,1.08+1.08,9.74,8.21,0.03,0.03,0.03,0.06,0.06,0.28,0.24,8,1
Dan Burn,09/05/1992,5.5,Brighton,D M,27,2059,1,1,0,0.74,0.44,1.08+0.08,1.08+0.08,0.98+0.98,4.98,4.18,0.05,0.05,0.04,0.09,0.09,0.22,0.18,5,0
Adam Webster,04/01/1995,19.8,Brighton,D,29,2596,1,1,0,0.87,0.17,1.27+0.27,1.27+0.27,0.25+0.25,7.72,7.58,0.04,0.04,0.01,0.05,0.05,0.27,0.26,4,0
Steven Alzate,08/09/1998,6.6,Brighton,D M,15,905,1,1,0,0.7,1.09,0.83-0.17,0.83-0.17,0.92+0.92,3.52,2.39,0.08,0.08,0.09,0.17,0.17,0.35,0.24,2,0
Tariq Lamptey,30/09/2000,19.8,Brighton,D M,11,904,1,1,1,0.6,1,0.70-0.30,0.70-0.30,0.81-0.19,4.57,3.69,0.07,0.07,0.08,0.15,0.15,0.45,0.37,2,1
Alexis Mac Allister,24/12/1998,11,Brighton,F M,21,1110,1,1,1,1.95,1.22,1.35+0.35,1.35+0.35,1.87+0.87,5.66,3.27,0.11,0.11,0.15,0.26,0.26,0.46,0.26,1,0
Joël Veltman,15/01/1992,6.6,Brighton,D M,28,2281,1,1,1,0.55,0.87,1.28+0.28,1.28+0.28,1.85+0.85,9.02,6.8,0.05,0.05,0.07,0.12,0.12,0.36,0.27,3,0
Mat Ryan,08/04/1992,6.6,Brighton,GK,11,990,0,0,0,0,0,0,0,0,1.23,1.23,0,0,0,0,0,0.11,0.11,1,0
Bernardo,14/05/1995,4.4,Brighton,D M,3,201,0,0,0,1.79,0.9,0.32+0.32,0.32+0.32,0.17+0.17,0.27,0.09,0.14,0.14,0.08,0.22,0.22,0.12,0.04,0,0
Davy Pröpper,02/09/1991,8.8,Brighton,M,7,201,0,0,0,1.79,0,0.14+0.14,0.14+0.14,0,0.27,0.19,0.06,0.06,0,0.06,0.06,0.12,0.09,0,0
José Izquierdo,07/07/1992,4.4,Brighton,S,1,7,0,0,0,12.86,0,0.02+0.02,0.02+0.02,0,0.07,0.05,0.22,0.22,0,0.22,0.22,0.86,0.64,0,0
Jayson Molumby,06/08/1999,1.1,Brighton,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,11/08/1993,5.5,Brighton,D F M,21,512,0,0,1,3.16,1.76,1.87+1.87,1.87+1.87,3.23+2.23,5.39,2.52,0.33,0.33,0.57,0.9,0.9,0.95,0.44,3,0
Ben White,08/10/1997,30.8,Brighton,D M,36,3208,0,0,0,0.28,0.22,0.48+0.48,0.48+0.48,0.94+0.94,8.35,7.91,0.01,0.01,0.03,0.04,0.04,0.23,0.22,3,1
Robert Sánchez,18/11/1997,8.8,Brighton,GK,27,2430,0,0,0,0,0.04,0,0,0.03+0.03,3.15,3.12,0,0,0,0,0,0.12,0.12,2,0
Andi Zeqiri,22/06/1999,2.75,Brighton,S,9,138,0,0,0,4.57,0.65,1.03+1.03,1.03+1.03,0.11+0.11,0.83,0.49,0.67,0.67,0.07,0.74,0.74,0.54,0.32,0,0
Percy Tau,13/05/1994,3.3,Brighton,M,3,100,0,0,1,0,2.7,0,0,0.37-0.63,0.44,0.09,0,0,0.33,0.33,0.33,0.4,0.08,0,0
Reda Khadra,04/07/2001,0.165,Brighton,S,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Moder,07/04/1999,11,Brighton,D M,12,643,0,0,0,1.82,0.42,0.92+0.92,0.92+0.92,0.21+0.21,1.86,1.19,0.13,0.13,0.03,0.16,0.16,0.26,0.17,0,0
Chris Wood,07/12/1991,8.8,Burnley,F,33,2765,12,10,3,2.28,0.75,12.95+0.95,11.43+1.43,2.04-0.96,13.59,2.15,0.42,0.37,0.07,0.49,0.44,0.44,0.07,0,0
Ashley Westwood,01/04/1990,5.5,Burnley,M,38,3412,3,3,3,0.5,1.37,1.01-1.99,1.01-1.99,6.53+3.53,10.03,6.3,0.03,0.03,0.17,0.2,0.2,0.26,0.17,7,0
Matej Vydra,01/05/1992,3.3,Burnley,F,28,1363,3,3,2,2.31,0.92,5.37+2.37,5.37+2.37,2.12+0.12,6.43,1.05,0.35,0.35,0.14,0.49,0.49,0.42,0.07,0,0
Ashley Barnes,30/10/1989,3.85,Burnley,F M,22,1342,3,2,0,2.55,1.27,3.87+0.87,3.11+1.11,0.80+0.80,4.19,1.2,0.26,0.21,0.05,0.31,0.26,0.28,0.08,4,0
Ben Mee,21/09/1989,6.6,Burnley,D,30,2695,2,2,0,0.73,0.23,1.62-0.38,1.62-0.38,0.81+0.81,2.12,2.02,0.05,0.05,0.03,0.08,0.08,0.07,0.07,3,0
Johann Berg Gudmundsson,27/10/1990,3.3,Burnley,M,22,1369,2,2,0,1.25,0.66,1.53-0.47,1.53-0.47,0.96+0.96,3.61,1.33,0.1,0.1,0.06,0.16,0.16,0.24,0.09,2,0
Dwight McNeil,22/11/1999,24.2,Burnley,M,36,3075,2,2,5,0.79,1.38,1.08-0.92,1.08-0.92,5.48+0.48,6.95,3.61,0.03,0.03,0.16,0.19,0.19,0.2,0.11,1,0
Robbie Brady,14/01/1992,3.3,Burnley,M,19,1061,1,1,1,1.36,0.59,0.78-0.22,0.78-0.22,0.91-0.09,2.68,1.53,0.07,0.07,0.08,0.14,0.14,0.23,0.13,3,0
Jay Rodriguez,29/07/1989,4.4,Burnley,F M,31,1237,1,1,2,2.26,0.44,2.98+1.98,2.98+1.98,1.21-0.79,4.23,0.91,0.22,0.22,0.09,0.3,0.3,0.31,0.07,3,0
Matthew Lowton,09/06/1989,2.75,Burnley,D,34,3060,1,1,1,0.62,0.76,0.76-0.24,0.76-0.24,2.77+1.77,6.37,3.58,0.02,0.02,0.08,0.1,0.1,0.19,0.11,5,0
James Tarkowski,19/11/1992,27.5,Burnley,D,36,3240,1,1,0,0.64,0.33,3.06+2.06,3.06+2.06,0.94+0.94,3.07,2.89,0.09,0.09,0.03,0.11,0.11,0.09,0.08,6,0
Jimmy Dunne,19/10/1997,0.66,Burnley,D,3,270,1,1,0,2.33,0.67,0.42-0.58,0.42-0.58,0.10+0.10,0.1,0.04,0.14,0.14,0.03,0.17,0.17,0.03,0.01,1,0
Jack Cork,25/06/1989,5.5,Burnley,M,16,1355,0,0,0,0.33,0.53,0.20+0.20,0.20+0.20,0.33+0.33,2.81,2.5,0.01,0.01,0.02,0.04,0.04,0.19,0.17,2,0
Phil Bardsley,28/06/1985,0.33,Burnley,D,4,272,0,0,0,0.99,0,0.06+0.06,0.06+0.06,0,0.13,0.1,0.02,0.02,0,0.02,0.02,0.04,0.03,2,0
Erik Pieters,07/08/1988,1.65,Burnley,D M,20,1259,0,0,1,0.29,0.36,0.15+0.15,0.15+0.15,0.36-0.64,1.93,1.55,0.01,0.01,0.03,0.04,0.04,0.14,0.11,1,0
Kevin Long,18/08/1990,1.1,Burnley,D,8,635,0,0,0,0.28,0.14,0.61+0.61,0.61+0.61,0.02+0.02,0.5,0.5,0.09,0.09,0,0.09,0.09,0.07,0.07,2,0
Nick Pope,19/04/1992,16.5,Burnley,GK,32,2880,0,0,0,0,0.06,0,0,0.09+0.09,1.18,1.09,0,0,0,0,0,0.04,0.03,1,0
Charlie Taylor,18/09/1993,4.4,Burnley,D,29,2430,0,0,1,0.11,0.44,0.11+0.11,0.11+0.11,1.59+0.59,4.61,4.19,0,0,0.06,0.06,0.06,0.17,0.16,1,0
Dale Stephens,12/06/1989,2.75,Burnley,M,7,258,0,0,0,1.05,0,0.08+0.08,0.08+0.08,0,0.24,0.16,0.03,0.03,0,0.03,0.03,0.08,0.06,1,0
Josh Benson,05/12/1999,0.44,Burnley,M,6,257,0,0,0,0.7,0,0.20+0.20,0.20+0.20,0,0.16,0.13,0.07,0.07,0,0.07,0.07,0.06,0.05,0,0
Will Norris,12/08/1993,0.44,Burnley,GK,2,180,0,0,0,0,0.5,0,0,0.05+0.05,0.09,0.05,0,0,0.02,0.02,0.02,0.05,0.02,0,0
Josh Brownhill,19/12/1995,7.7,Burnley,M,33,2818,0,0,1,1.09,0.61,1.52+1.52,1.52+1.52,0.88-0.12,6,4.79,0.05,0.05,0.03,0.08,0.08,0.19,0.15,2,0
Bailey Peacock-Farrell,29/10/1996,1.1,Burnley,GK,4,360,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0
Joel Mumbongo,09/01/1999,0.33,Burnley,S,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lewis Richardson,07/02/2003,0.22,Burnley,S,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorginho,20/12/1991,44,Chelsea,M,28,2022,7,0,1,0.62,1.07,6.97-0.03,0.12+0.12,1.95+0.95,11.38,10.88,0.31,0.01,0.09,0.4,0.09,0.51,0.48,2,0
Timo Werner,06/03/1996,71.5,Chelsea,F M,35,2605,6,6,8,2.76,1.24,13.43+7.43,13.43+7.43,6.67-1.33,20.53,5.24,0.46,0.46,0.23,0.69,0.69,0.71,0.18,2,0
Tammy Abraham,02/10/1997,41.8,Chelsea,F,22,1027,6,6,1,2.8,0.79,6.19+0.19,6.19+0.19,0.72-0.28,7.9,2.12,0.54,0.54,0.06,0.61,0.61,0.69,0.19,0,0
Mason Mount,10/01/1999,82.5,Chelsea,F M,36,2891,6,5,5,2.55,2.71,6.88+0.88,6.12+1.12,9.85+4.85,21.7,12.44,0.21,0.19,0.31,0.52,0.5,0.68,0.39,2,0
Kurt Zouma,27/10/1994,35.2,Chelsea,D,24,2024,5,5,0,1.2,0.18,3.14-1.86,3.14-1.86,0.08+0.08,6.22,6.13,0.14,0.14,0,0.14,0.14,0.28,0.27,3,0
Olivier Giroud,30/09/1986,4.4,Chelsea,F,17,750,4,4,0,3.48,0.72,5.07+1.07,5.07+1.07,1.18+1.18,5.25,1.71,0.61,0.61,0.14,0.75,0.75,0.63,0.21,1,0
Christian Pulisic,18/09/1998,55,Chelsea,F M,27,1739,4,4,2,2.23,1.29,6.78+2.78,6.78+2.78,2.76+0.76,14.59,7.1,0.35,0.35,0.14,0.49,0.49,0.76,0.37,2,0
Kai Havertz,11/06/1999,77,Chelsea,F M,27,1523,4,4,3,1.95,1.06,6.35+2.35,6.35+2.35,1.55-1.45,10.38,4.81,0.38,0.38,0.09,0.47,0.47,0.61,0.28,2,0
Ben Chilwell,21/12/1996,49.5,Chelsea,D M,27,2296,3,3,5,1.06,1.18,2.98-0.02,2.98-0.02,2.46-2.54,11.33,8.16,0.12,0.12,0.1,0.21,0.21,0.44,0.32,3,0
Marcos Alonso,28/12/1990,13.2,Chelsea,D,13,962,2,2,0,2.06,1.4,1.82-0.18,1.82-0.18,1.72+1.72,4.64,2.54,0.17,0.17,0.16,0.33,0.33,0.43,0.24,2,0
Thiago Silva,22/09/1984,3.3,Chelsea,D,23,1938,2,2,0,0.6,0.23,1.32-0.68,1.32-0.68,0.29+0.29,7.84,7.64,0.06,0.06,0.01,0.07,0.07,0.36,0.35,3,1
Callum Hudson-Odoi,07/11/2000,35.2,Chelsea,D F M,23,1048,2,2,3,1.98,2.66,1.37-0.63,1.37-0.63,3.10+0.10,7.82,5.5,0.12,0.12,0.27,0.38,0.38,0.67,0.47,0,0
Hakim Ziyech,19/03/1993,41.8,Chelsea,F M,23,1182,2,2,3,2.66,2.59,1.99-0.01,1.99-0.01,4.48+1.48,7.66,3.69,0.15,0.15,0.34,0.49,0.49,0.58,0.28,3,0
César Azpilicueta,28/08/1989,14.3,Chelsea,D,26,2189,1,1,2,0.45,1.11,0.50-0.50,0.50-0.50,2.58+0.58,13.99,12.34,0.02,0.02,0.11,0.13,0.13,0.58,0.51,5,1
Antonio Rüdiger,03/03/1993,30.8,Chelsea,D,19,1710,1,1,0,0.74,0.21,1.14+0.14,1.14+0.14,0.31+0.31,9.14,9.04,0.06,0.06,0.02,0.08,0.08,0.48,0.48,0,0
Reece James,08/12/1999,44,Chelsea,D M,32,2355,1,1,2,1.34,1.61,1.53+0.53,1.53+0.53,3.65+1.65,11.72,9.59,0.06,0.06,0.14,0.2,0.2,0.45,0.37,3,0
Andreas Christensen,10/04/1996,33,Chelsea,D,17,1375,0,0,0,0.2,0.39,0.13+0.13,0.13+0.13,0.25+0.25,7.44,7.28,0.01,0.01,0.02,0.02,0.02,0.49,0.48,2,1
Ross Barkley,05/12/1993,22,Chelsea,S,2,35,0,0,0,2.57,2.57,0.02+0.02,0.02+0.02,0.12+0.12,0.22,0.09,0.05,0.05,0.3,0.34,0.34,0.57,0.23,0,0
Willy Caballero,28/09/1981,0.275,Chelsea,GK,1,90,0,0,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0,0
Ruben Loftus-Cheek,23/01/1996,19.8,Chelsea,F,1,65,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0.03,0.03,0,0
Fikayo Tomori,19/12/1997,30.8,Chelsea,S,1,43,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0.15,0.15,0,0
N'Golo Kanté,29/03/1991,60.5,Chelsea,M,30,2142,0,0,2,0.42,0.92,0.70+0.70,0.70+0.70,1.21-0.79,10.1,8.44,0.03,0.03,0.05,0.08,0.08,0.42,0.35,7,0
Emerson,03/08/1994,13.2,Chelsea,S,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateo Kovacic,06/05/1994,49.5,Chelsea,M,27,1833,0,0,1,1.13,1.03,0.93+0.93,0.93+0.93,1.92+0.92,14.81,13.04,0.05,0.05,0.09,0.14,0.14,0.73,0.64,4,0
Kepa,03/10/1994,14.3,Chelsea,GK,7,582,0,0,0,0,0,0,0,0,0.31,0.31,0,0,0,0,0,0.05,0.05,1,0
Edouard Mendy,01/03/1992,27.5,Chelsea,GK,31,2748,0,0,0,0,0,0,0,0,4.78,4.78,0,0,0,0,0,0.16,0.16,2,0
Billy Gilmour,11/06/2001,11,Chelsea,M,5,256,0,0,0,0.35,1.05,0.05+0.05,0.05+0.05,0.12+0.12,0.54,0.41,0.02,0.02,0.04,0.06,0.06,0.19,0.14,0,0
