Name,Birthday(DD/MM/YYYY),MarketValue,Team,Position,Appearances,Minutes,G,NPG,A,Sh90,KP90,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,Y,R
Nicolas de Preville,08/01/1991,3.3,Bordeaux,F M,33,1595,1,1,2,2.14,1.81,3.73+2.73,3.73+2.73,3.78+1.78,8.87,4.41,0.21,0.21,0.21,0.42,0.42,0.5,0.25,3,0
Pablo,21/06/1991,9.9,Bordeaux,D,13,1074,1,1,0,0.75,0.08,0.97-0.03,0.97-0.03,0.13+0.13,2.3,2.3,0.08,0.08,0.01,0.09,0.09,0.19,0.19,5,0
Youssouf Sabaly,05/03/1993,7.15,Bordeaux,D M,33,2920,1,1,2,0.4,0.77,0.54-0.46,0.54-0.46,1.57-0.43,8.11,6.67,0.02,0.02,0.05,0.06,0.06,0.25,0.21,4,0
Jimmy Briand,02/08/1985,1.21,Bordeaux,M,24,520,1,0,2,2.25,0.35,1.31+0.31,0.55+0.55,0.22-1.78,0.69,0.11,0.23,0.09,0.04,0.26,0.13,0.12,0.02,2,0
Enock Kwateng,09/04/1997,3.52,Bordeaux,D,18,1040,1,1,0,0.35,0.61,0.58-0.42,0.58-0.42,0.42+0.42,2.58,2.23,0.05,0.05,0.04,0.09,0.09,0.22,0.19,4,0
Otávio,04/05/1994,7.7,Bordeaux,M,18,1562,1,1,0,0.35,0.12,0.47-0.53,0.47-0.53,0.04+0.04,3.63,3.12,0.03,0.03,0,0.03,0.03,0.21,0.18,6,0
Mehdi Zerkane,15/07/1999,2.75,Bordeaux,F M,27,1189,1,1,1,1.14,1.06,1.82+0.82,1.82+0.82,1.53+0.53,5.93,3.23,0.14,0.14,0.12,0.25,0.25,0.45,0.24,3,1
Sékou Mara,30/07/2002,0.88,Bordeaux,F,8,225,1,1,2,1.6,0.8,0.48-0.52,0.48-0.52,0.52-1.48,0.92,0.15,0.19,0.19,0.21,0.4,0.4,0.37,0.06,0,0
Issouf Sissokho,30/01/2002,0.44,Bordeaux,S,6,69,1,1,0,2.61,0,0.06-0.94,0.06-0.94,0,0.51,0.51,0.08,0.08,0,0.08,0.08,0.67,0.67,2,0
Laurent Koscielny,10/09/1985,3.85,Bordeaux,D,26,2216,0,0,2,0.24,0.28,0.58+0.58,0.58+0.58,1.22-0.78,4.57,4.57,0.02,0.02,0.05,0.07,0.07,0.19,0.19,3,0
Rubén Pardo,22/10/1992,2.64,Bordeaux,S,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benoit Costil,03/07/1987,3.08,Bordeaux,GK,38,3420,0,0,0,0,0,0,0,0,5.45,5.45,0,0,0,0,0,0.14,0.14,0,0
Jean Michael Seri,19/07/1991,4.4,Bordeaux,M,12,716,0,0,0,0.5,0.63,0.14+0.14,0.14+0.14,0.24+0.24,3.56,3.44,0.02,0.02,0.03,0.05,0.05,0.45,0.43,3,0
Maxime Poundje,16/08/1992,2.2,Bordeaux,D,14,475,0,0,0,0.19,0.19,0.02+0.02,0.02+0.02,0.09+0.09,0.59,0.56,0,0,0.02,0.02,0.02,0.11,0.11,1,0
Mexer,08/09/1988,1.32,Bordeaux,D,9,719,0,0,0,0.13,0.25,0.05+0.05,0.05+0.05,0.16+0.16,1.3,1.3,0.01,0.01,0.02,0.03,0.03,0.16,0.16,3,0
Loic Bessile,19/02/1999,0.22,Bordeaux,D,1,90,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0.25,0,0
Loris Benito,07/01/1992,3.3,Bordeaux,D,31,2658,0,0,0,0.27,0.47,0.40+0.40,0.40+0.40,1.10+1.10,9.39,8.74,0.01,0.01,0.04,0.05,0.05,0.32,0.3,7,1
Dilane Bakwa,26/08/2002,0.77,Bordeaux,S,7,41,0,0,0,6.59,2.2,0.15+0.15,0.15+0.15,0.03+0.03,0.32,0.2,0.32,0.32,0.05,0.38,0.38,0.71,0.43,0,0
Amadou Traoré,07/03/2002,0.88,Bordeaux,S,19,257,0,0,1,1.05,2.1,0.26+0.26,0.26+0.26,0.79-0.21,1.08,0.17,0.09,0.09,0.28,0.37,0.37,0.38,0.06,0,0
Tom Lacoux,25/01/2002,0.88,Bordeaux,M,13,520,0,0,0,0.52,0,0.08+0.08,0.08+0.08,0,0.97,0.96,0.01,0.01,0,0.01,0.01,0.17,0.17,2,1
Steve Mounie,29/09/1994,7.7,Brest,F,35,2704,9,8,4,2.66,0.6,11.39+2.39,9.87+1.87,2.56-1.44,14.15,3.85,0.38,0.33,0.09,0.46,0.41,0.47,0.13,6,0
Franck Honorat,11/08/1996,7.7,Brest,F M,36,2477,8,8,4,1.49,2.29,3.73-4.27,3.73-4.27,7.63+3.63,12.79,5.24,0.14,0.14,0.28,0.41,0.41,0.46,0.19,3,0
Irvin Cardona,08/08/1997,7.7,Brest,F,36,2046,7,7,1,2.38,0.84,6.86-0.14,6.86-0.14,1.13+0.13,9.09,2.1,0.3,0.3,0.05,0.35,0.35,0.4,0.09,2,0
Gaëtan Charbonnier,27/12/1988,1.98,Brest,F M,36,1564,6,5,1,2.07,1.32,5.05-0.95,4.29-0.71,2.62+1.62,8.88,4.09,0.29,0.25,0.15,0.44,0.4,0.51,0.24,4,0
Romain Faivre,14/07/1998,14.3,Brest,F M,36,2915,6,5,5,2.04,1.91,6.05+0.05,5.29+0.29,6.22+1.22,14.51,7.46,0.19,0.16,0.19,0.38,0.36,0.45,0.23,0,0
Romain Perraud,22/09/1997,8.8,Brest,D,36,3140,3,3,7,1.23,1.03,2.71-0.29,2.71-0.29,3.13-3.87,12.39,8.97,0.08,0.08,0.09,0.17,0.17,0.36,0.26,4,0
Brendan Chardonnet,22/12/1994,3.3,Brest,D,33,2711,3,3,1,0.7,0.2,3.17+0.17,3.17+0.17,0.65-0.35,6.14,5.7,0.11,0.11,0.02,0.13,0.13,0.2,0.19,3,1
Romain Philippoteaux,02/03/1988,0.77,Brest,F M,17,571,1,1,0,1.58,0.79,0.43-0.57,0.43-0.57,0.23+0.23,1.19,0.68,0.07,0.07,0.04,0.1,0.1,0.19,0.11,0,0
Ronael Pierre Gabriel,13/06/1998,4.4,Brest,D,29,2325,1,1,0,0.31,0.7,0.44-0.56,0.44-0.56,1.16+1.16,6.44,5.35,0.02,0.02,0.05,0.06,0.06,0.25,0.21,4,0
Jean-Kevin Duverne,12/07/1997,3.85,Brest,D,27,2014,1,1,0,0.45,0.18,0.72-0.28,0.72-0.28,0.58+0.58,7.16,6.69,0.03,0.03,0.03,0.06,0.06,0.32,0.3,4,0
Jeremy Le Douaron,21/04/1998,1.32,Brest,M,28,799,1,1,2,1.46,1.01,1.59+0.59,1.59+0.59,0.57-1.43,2.68,0.77,0.18,0.18,0.06,0.24,0.24,0.3,0.09,0,0
Lilian Brassier,02/11/1999,2.75,Brest,D,11,966,1,1,1,0.56,0.47,0.41-0.59,0.41-0.59,0.77-0.23,1.15,1.07,0.04,0.04,0.07,0.11,0.11,0.11,0.1,3,0
Ludovic Baal,24/05/1986,0.358,Brest,D,7,295,0,0,0,0,0.61,0,0,0.38+0.38,1.02,0.64,0,0,0.12,0.12,0.12,0.31,0.2,0,0
Paul Lasne,16/01/1989,1.1,Brest,M,22,1686,0,0,0,0.27,0.37,0.82+0.82,0.82+0.82,0.29+0.29,4.65,4.52,0.04,0.04,0.02,0.06,0.06,0.25,0.24,4,1
Hugo Magnetti,30/05/1998,0.77,Brest,M,13,599,0,0,0,1.35,0.45,0.23+0.23,0.23+0.23,0.12+0.12,2.4,2.07,0.03,0.03,0.02,0.05,0.05,0.36,0.31,4,0
Christophe Herelle,22/08/1992,3.85,Brest,D,16,1379,0,0,0,0.39,0.2,0.48+0.48,0.48+0.48,0.06+0.06,3.2,3.16,0.03,0.03,0,0.04,0.04,0.21,0.21,4,0
Sebastien Cibois,02/03/1998,0.44,Brest,GK,3,270,0,0,0,0,0,0,0,0,0.11,0.11,0,0,0,0,0,0.04,0.04,0,0
Ibrahima Diallo,08/03/1999,16.5,Brest,M,5,447,0,0,0,0.2,0.6,0.01+0.01,0.01+0.01,0.43+0.43,2.09,1.67,0,0,0.09,0.09,0.09,0.42,0.34,1,0
Jean Lucas,22/06/1998,4.95,Brest,M,16,1007,0,0,2,1.79,0.71,1.16+1.16,1.16+1.16,0.93-1.07,2.74,1.42,0.1,0.1,0.08,0.19,0.19,0.24,0.13,2,1
Gautier Larsonneur,23/02/1997,7.7,Brest,GK,35,3150,0,0,0,0,0,0,0,0,2.27,2.27,0,0,0,0,0,0.06,0.06,2,0
Julien Faussurier,14/01/1987,0.44,Brest,D,17,949,0,0,3,0.47,2.18,0.25+0.25,0.25+0.25,2.23-0.77,5.12,3.72,0.02,0.02,0.21,0.24,0.24,0.49,0.35,1,0
Haris Belkebla,28/01/1994,2.75,Brest,M,35,2753,0,0,0,0.2,0.36,0.13+0.13,0.13+0.13,0.47+0.47,7.26,6.7,0,0,0.02,0.02,0.02,0.24,0.22,7,1
Cristian Battocchio,10/02/1992,2.09,Brest,M,15,335,0,0,0,1.07,1.34,0.34+0.34,0.34+0.34,0.34+0.34,1.33,0.97,0.09,0.09,0.09,0.18,0.18,0.36,0.26,0,0
Hianga'a M'Bock,28/12/1999,2.2,Brest,M,12,439,0,0,0,0.82,0.41,0.14+0.14,0.14+0.14,0.12+0.12,2.16,2.04,0.03,0.03,0.02,0.05,0.05,0.44,0.42,1,0
Heriberto Tavares,19/02/1997,1.32,Brest,S,4,32,0,0,0,2.81,2.81,0.30+0.30,0.30+0.30,0.03+0.03,0.3,0,0.83,0.83,0.09,0.92,0.92,0.83,0,0,0
Bandiougou Fadiga,15/01/2001,1.32,Brest,S,4,38,0,0,0,0,2.37,0,0,0.08+0.08,0.16,0.16,0,0,0.19,0.19,0.19,0.38,0.38,0,0
Mama Baldé,06/11/1995,4.95,Dijon,F M,29,2181,7,7,0,2.39,0.41,8.16+1.16,8.16+1.16,0.51+0.51,9.45,2.11,0.34,0.34,0.02,0.36,0.36,0.39,0.09,4,0
Moussa Konate,03/04/1993,2.75,Dijon,F,27,1186,5,4,1,2.66,0.61,5.61+0.61,4.09+0.09,0.49-0.51,4.05,0.82,0.43,0.31,0.04,0.46,0.35,0.31,0.06,4,0
Yassine Benzia,08/09/1994,1.76,Dijon,F M,7,410,2,0,0,1.32,1.98,1.66-0.34,0.14+0.14,0.33+0.33,1.65,1.3,0.36,0.03,0.07,0.44,0.1,0.36,0.29,1,0
Bruno Ecuele Manga,16/07/1988,1.32,Dijon,D,38,3420,2,2,0,0.82,0.03,1.88-0.12,1.88-0.12,0.06+0.06,4.36,4.17,0.05,0.05,0,0.05,0.05,0.11,0.11,3,0
Senou Coulibaly,04/09/1994,1.1,Dijon,D,22,1939,2,2,0,0.23,0.05,0.82-1.18,0.82-1.18,0.09+0.09,1.39,1.37,0.04,0.04,0,0.04,0.04,0.06,0.06,4,1
Ngonda Muzinga,31/12/1994,1.1,Dijon,D M,30,2309,2,2,0,0.43,0.7,0.26-1.74,0.26-1.74,0.90+0.90,4.5,3.69,0.01,0.01,0.03,0.04,0.04,0.18,0.14,5,0
Aboubakar Kamara,07/03/1995,2.2,Dijon,F M,10,567,1,1,0,1.75,1.11,1.17+0.17,1.17+0.17,0.97+0.97,2.28,0.49,0.19,0.19,0.15,0.34,0.34,0.36,0.08,1,1
Fouad Chafik,16/10/1986,0.55,Dijon,D,23,1618,1,1,0,0.28,0.44,0.10-0.90,0.10-0.90,0.72+0.72,3.33,2.6,0.01,0.01,0.04,0.05,0.05,0.19,0.14,5,0
Eric Junior Dina Ebimbe,21/11/2000,6.6,Dijon,F M,30,2158,1,1,1,1.92,1.04,2.89+1.89,2.89+1.89,2.11+1.11,6.62,2.69,0.12,0.12,0.09,0.21,0.21,0.28,0.11,5,0
Roger Assalé,13/11/1993,2.75,Dijon,F M,17,836,1,1,0,1.08,0.32,0.95-0.05,0.95-0.05,0.19+0.19,2.02,1.06,0.1,0.1,0.02,0.12,0.12,0.22,0.11,0,1
Aurelien Scheidler,04/06/1998,1.1,Dijon,F,10,335,1,1,0,2.15,1.34,0.70-0.30,0.70-0.30,0.66+0.66,1.74,0.49,0.19,0.19,0.18,0.36,0.36,0.47,0.13,1,0
Bersant Celina,09/09/1996,3.3,Dijon,F M,32,2299,0,0,5,0.94,1.88,1.31+1.31,1.31+1.31,3.82-1.18,6.14,2.82,0.05,0.05,0.15,0.2,0.2,0.24,0.11,5,1
Alfred Gomis,05/09/1993,7.7,Dijon,GK,5,450,0,0,0,0,0,0,0,0,0.45,0.45,0,0,0,0,0,0.09,0.09,0,0
Didier Ndong,17/06/1994,2.75,Dijon,M,29,2610,0,0,1,0.21,0.34,0.15+0.15,0.15+0.15,1.14+0.14,5.07,4,0.01,0.01,0.04,0.04,0.04,0.17,0.14,7,0
Pape Cheikh,08/08/1997,2.75,Dijon,M,21,1092,0,0,0,0.49,0.66,0.33+0.33,0.33+0.33,0.31+0.31,1.97,1.48,0.03,0.03,0.03,0.05,0.05,0.16,0.12,5,0
Wesley Lautoa,25/08/1987,0.55,Dijon,D M,25,1615,0,0,0,0.56,0.22,0.59+0.59,0.59+0.59,0.11+0.11,2.6,2.01,0.03,0.03,0.01,0.04,0.04,0.15,0.11,4,0
Romain Amalfitano,27/08/1989,1.32,Dijon,M,2,117,0,0,0,1.54,0.77,0.02+0.02,0.02+0.02,0.02+0.02,0.06,0.04,0.02,0.02,0.02,0.03,0.03,0.05,0.03,0,0
Frederic Sammaritano,23/03/1986,0.33,Dijon,F M,30,1103,0,0,2,0.82,2.04,1.25+1.25,1.25+1.25,2.45+0.45,3.24,1.23,0.1,0.1,0.2,0.3,0.3,0.26,0.1,4,1
Jordan Marié,29/09/1991,0.88,Dijon,M,24,1439,0,0,0,0.63,0.44,0.66+0.66,0.66+0.66,0.81+0.81,2.8,1.97,0.04,0.04,0.05,0.09,0.09,0.18,0.12,2,0
Anthony Racioppi,31/12/1998,1.65,Dijon,GK,21,1890,0,0,0,0,0.05,0,0,0.06+0.06,0.19,0.13,0,0,0,0,0,0.01,0.01,0,0
Jonathan Panzo,25/10/2000,4.4,Dijon,D,22,1811,0,0,0,0.25,0,0.16+0.16,0.16+0.16,0,1.48,1.47,0.01,0.01,0,0.01,0.01,0.07,0.07,5,0
Sacha Boey,13/09/2000,2.75,Dijon,D M,24,1869,0,0,1,0.48,0.87,0.27+0.27,0.27+0.27,2.28+1.28,2.67,1.98,0.01,0.01,0.11,0.12,0.12,0.13,0.1,1,0
Arthur Zagre,04/10/2001,2.75,Dijon,D,3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rayan Philippe,23/10/2000,0.77,Dijon,F,4,89,0,0,0,2.02,0,0.38+0.38,0.38+0.38,0,0.38,0,0.38,0.38,0,0.38,0.38,0.38,0,0,0
Mounir Chouiar,23/01/1999,6.6,Dijon,F M,23,1299,0,0,2,1.66,1.66,2.04+2.04,1.28+1.28,2.21+0.21,3.63,0.77,0.14,0.09,0.15,0.29,0.24,0.25,0.05,5,0
Ahmad Toure Ngouyamsa Nounchili,21/12/2000,0.275,Dijon,D,3,158,0,0,0,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0.08,0.08,1,0
Mihai-Alexandru Dobre,30/08/1998,1.1,Dijon,F M,22,503,0,0,0,1.61,0.72,0.38+0.38,0.38+0.38,0.22+0.22,0.86,0.35,0.07,0.07,0.04,0.11,0.11,0.15,0.06,0,0
Aníbal Chalá,09/05/1996,1.65,Dijon,D M,13,739,0,0,0,0,0.37,0,0,0.17+0.17,0.33,0.33,0,0,0.02,0.02,0.02,0.04,0.04,0,0
Wilitty Younoussa,09/09/2001,0.275,Dijon,M,3,73,0,0,0,2.47,2.47,0.02+0.02,0.02+0.02,0.37+0.37,0.37,0,0.03,0.03,0.46,0.49,0.49,0.46,0,0,0
Saturnin Allagbe,22/11/1993,1.32,Dijon,GK,12,1080,0,0,0,0,0,0,0,0,0.31,0.31,0,0,0,0,0,0.03,0.03,2,0
Jacques Siwe,29/07/2001,0.44,Dijon,F,5,166,0,0,0,1.63,1.08,0.31+0.31,0.31+0.31,0.09+0.09,0.4,0.23,0.17,0.17,0.05,0.21,0.21,0.22,0.13,0,0
Erwan Belhadji,22/06/2001,0.22,Dijon,S,1,29,0,0,0,3.1,3.1,0.03+0.03,0.03+0.03,0.03+0.03,0.06,0,0.09,0.09,0.08,0.17,0.17,0.17,0,0,0
Charles Costes,16/09/2002,0,Dijon,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaël Kakuta,21/06/1991,8.8,Lens,F M,35,2449,11,4,5,1.91,1.8,11,4.16+0.16,6.87+1.87,14.13,7.44,0.4,0.15,0.25,0.66,0.41,0.52,0.27,3,0
Florian Sotoca,25/10/1990,2.75,Lens,F M,33,2445,8,6,3,2.61,0.96,10.59+2.59,9.07+3.07,3.65+0.65,13.48,4.38,0.39,0.33,0.13,0.52,0.47,0.5,0.16,7,0
Ignatius Ganago,16/02/1999,8.8,Lens,F,24,1313,7,7,0,2.74,0.96,7.55+0.55,7.55+0.55,1.04+1.04,9.18,1.65,0.52,0.52,0.07,0.59,0.59,0.63,0.11,0,0
Arnaud Kalimuendo Muinga,20/01/2002,11,Lens,F M,28,1214,7,7,3,2.37,1.11,6.26-0.74,6.26-0.74,2.40-0.60,9.52,1.98,0.46,0.46,0.18,0.64,0.64,0.71,0.15,0,0
Simon Banza,13/08/1996,2.75,Lens,F,34,1341,5,4,2,2.35,0.81,5.90+0.90,5.14+1.14,2.11+0.11,7.97,3.14,0.4,0.34,0.14,0.54,0.49,0.53,0.21,4,1
Jonathan Clauss,25/09/1992,8.8,Lens,D M,33,2560,3,3,6,1.2,1.79,1.67-1.33,1.67-1.33,6.75+0.75,11.2,7.01,0.06,0.06,0.24,0.3,0.3,0.39,0.25,2,0
Massadio Haidara,02/12/1992,2.75,Lens,D M,25,2141,2,2,1,0.5,0.71,2.19+0.19,2.19+0.19,1.69+0.69,6.43,4.73,0.09,0.09,0.07,0.16,0.16,0.27,0.2,6,0
Seko Fofana,07/05/1995,13.2,Lens,M,30,2309,2,2,3,1.56,0.97,2.74+0.74,2.74+0.74,2.58-0.42,12.34,8.92,0.11,0.11,0.1,0.21,0.21,0.48,0.35,2,0
Facundo Medina,28/05/1999,11,Lens,D,24,2009,2,2,0,0.4,0.36,1.17-0.83,1.17-0.83,0.64+0.64,6.58,6.07,0.05,0.05,0.03,0.08,0.08,0.29,0.27,11,0
Cheick Oumar Doucoure,08/01/2000,6.6,Lens,M,33,2643,2,2,1,1.19,0.89,1.10-0.90,1.10-0.90,1.14+0.14,13.02,11.37,0.04,0.04,0.04,0.08,0.08,0.44,0.39,8,0
Yannick Cahuzac,18/01/1985,0.44,Lens,M,30,2268,1,1,0,0.32,0.48,1.51+0.51,1.51+0.51,0.61+0.61,5.56,4.1,0.06,0.06,0.02,0.08,0.08,0.22,0.16,9,0
Issiaga Sylla,01/01/1994,2.2,Lens,D M,20,1113,1,1,0,0.81,0.65,1.41+0.41,1.41+0.41,1.02+1.02,3.85,3.05,0.11,0.11,0.08,0.2,0.2,0.31,0.25,0,1
Corentin Jean,15/07/1995,1.76,Lens,F,23,547,1,1,1,3.46,1.32,1.64+0.64,1.64+0.64,0.47-0.53,2.83,1.06,0.27,0.27,0.08,0.35,0.35,0.46,0.17,3,0
